Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,﻿છઠ્ઠો,,,,,,,
,ગ્રહ,,,,,,,
,પાંચમા,,,,,,,
Discuss this,કરતાં,,કરતાં,ComparisonRef,ComparisonRef,,,Circumposition?
,દસેક,,,,,,,
,ગણો,,,,,,,
,મોટો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
2,અહીં,,,,,,,
,એક,,,,,,,
,વૃદ્ધ,,,,,,,
,સજ્જન,,,,,,,
,રહેતા,,,,,,,
,હતા,,,,,,,
,.,,,,,,,
,,,,,,,,
3,એમણે,,એ,Originator,Agent,,,
,ઘણી,,,,,,,
,ચોપડીઓ,,,,,,,
,લખી,,,,,,,
,હતી,,,,,,,
,.,,,,,,,
,,,,,,,,
4,“,,,,,,,
,ઓહ,,,,,,,
,!,,,,,,,
,આજે,,,,,,,
,એક,,,,,,,
,સાહસિક,,,,,,,
,",",,,,,,,
,એક,,,,,,,
,શોધક,,,,,,,
,આ,,,,,,,
,તરફ,,તરફ,Direction,Direction,,,
,આવી,,,,,,,
,રહ્યો,,,,,,,
,છે,,,,,,,
,ને,,,,,,,
,!,,,,,,,
,“,,,,,,,
,રાજકુમારને,,ને,Stimulus,Theme,,,
,પોતાની,,ની,Direction,Direction,1:1,,
,તરફ,,તરફ,,,1:2,,
,આવતો,,,,,,,
,જોઈ,,,,,,,
,એણે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
5,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,ટેબલ,,,,,,,
,પર,,પર,Goal,Locus,,,
,બેસી,,,,,,,
,ગયો,,,,,,,
,.,,,,,,,
,,,,,,,,
6,એ,,,,,,,
,થોડોક,,,,,,,
,હાંફી,,,,,,,
,રહ્યો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
7,એણે,,એ,Agent,Agent,,,
,કેટલી,,,,,,,
,લાંબી,,,,,,,
,મુસાફરી,,,,,,,
,કરી,,,,,,,
,હતી,,,,,,,
,!,,,,,,,
,,,,,,,,
8,“,,,,,,,
,તું,,,,,,,
,ક્યાંથી,,થી,Source,Source,,,
,આવે,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,“,,,,,,,
,વૃદ્ધ,,,,,,,
,સજ્જને,,એ,Originator,Agent,,,
,એને,,ને,Recipient,Recipient,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
9,“,,,,,,,
,પેલી,,,,,,,
,ચોપડી,,,,,,,
,શાની,,ની,Topic,Topic,,,
,છે,,,,,,,
,?,,,,,,,
,તમે,,,,,,,
,શું,,,,,,,
,કરી,,,,,,,
,રહ્યા,,,,,,,
,છો,,,,,,,
,?,,,,,,,
,“,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,સામેથી,,થી,Manner,Source,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
10,“,,,,,,,
,હું,,,,,,,
,ખગોળશાસ્ત્રી,,,,,,,
,છું,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
11,“,,,,,,,
,ખગોળશાસ્ત્રી,,,,,,,
,એટલે,,,,,,,
,શું,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
12,“,,,,,,,
,ખગોળશાસ્ત્રી,,,,,,,
,એ,,,,,,,
,બહુ,,,,,,,
,જ્ઞાની,,,,,,,
,માણસ,,,,,,,
,હોય,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
13,જુદાં,,,,,,,
,જુદાં,,,,,,,
,સમુદ્રો,,,,,,,
,",",,,,,,,
,નદીઓ,,,,,,,
,",",,,,,,,
,પર્વતો,,,,,,,
,",",,,,,,,
,રણપ્રદેશો,,,,,,,
,વગેરે,,,,,,,
,ક્યાં,,,,,,,
,ક્યાં,,,,,,,
,આવેલા,,,,,,,
,છે,,,,,,,
,એ,,,,,,,
,વિષે,,વિષે,Topic,Topic,,,
,બધી,,,,,,,
,માહિતી,,,,,,,
,ખગોળશાસ્તરીને,,ને,Experiencer,Recipient,,,
,હોય,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
14,“,,,,,,,
,આ,,,,,,,
,તો,,તો,Focus,Focus,,,
,બહું,,,,,,,
,મઝાનું,,નું,Characteristic,Characteristic,,,
,લાગે,,,,,,,
,છે,,,,,,,
,!,,,,,,,
,“,,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,",",,,,,,,
,“,,,,,,,
,આ,,,,,,,
