Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Translation,,
1,﻿હું,,,,,,I,,"When I was about six years old, I had seen a glorious picture.",,
,જ્યારે,,,,,,when,,,,
,છએક,,,,,,about six,This is a quantifier.The gloss can be about six/ approx. six. Should we be consider annotating it?,,,
,વર્ષનો,,નો,Characteristic,Characteristic,,years,"This one is tricky for scene role assignment, 6.6 Special Constructions",,,
,હતો,,,,,,was,,,,
,ત્યારે,,,,,,then,,,,
,મેં,,,,,,I,,,,
,એક,,,,,,one,,,,
,ભવ્ય,,,,,,glorious,,,,
,ચિત્ર,,,,,,picture,,,,
,જોયું,,,,,,saw,,,,
,હતું,,,,,,was,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
2,ચિત્ર,,,,,,Picture,,Picture was in a book,,
,હતું,,,,,,was,,,,
,એક,,,,,,one,,,,
,પુસ્તકમાં,,માં,Locus,Locus,,in book,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
3,એ,,,,,,that ,,That book collection was of true incidents of historic nature.,,
,પુસ્તક,,,,,,book,,,,
,પ્રાગ્,,,,,,pre-,,,,
,ઐતિહાસિક,,,,,,historic,,,,
,પ્રકૃતિની,,ની,Characteristic,Characteristic,,of nature,"Descriptive, Characteristic->Characteristic. Char->Topic rarely occurs",,,
,સત્ય,,,,,,true ,,,,
,ઘટનાઓનું,,નું,Topic,Topic,,of incidents,1.2 point. Topic since there is no physical attribution to incidents and collection,,,
,હતું,,,,,,was,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
4,એ,,,,,,that,,A boa was shown swallowing some animal in that picture.,,
,ચિત્રમાં,,માં,Locus,Locus,,in picture,1.3 point. Topic->Topic/Locus ,,,
,એક,,,,,,one,,,,
,અજગર,,,,,,boa,,,,
,કોઈ,,,,,,some,,,,
,પ્રાણીને,,ને,Theme,Theme,,to animal ,Accusative. object undergoing action,,,
,ગળી,,,,,,swallow,,,,
,જતે,,,,,,going,,,,
,દેખાડયો,,,,,,depicting,,,,
,હતો,,,,,,was,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
5,એ,,,,,,that,,In that book it was written that the boa swallows its prey entirely without chewing but it is unable to move afterwards,,
,પુસ્તકમાં,,માં,Locus,Locus,,in book,1.2,,,
,લખ્યું,,,,,,written,,,,
,હતું,,,,,,was,,,,
,કે,,,,,,that,,,,
,અજગર,,,,,,boa,,,,
,એના,,ના,Gestalt,Gestalt,,its,Genetive marker,Point 1.4*. What is the relation between a hunter and its prey. Possessor?SocialRel?or Theme?. Theme->Gestalt?,,
,શિકારને,,ને,Theme,Theme,,prey,,,,
,ચાવ્યા,,,,,,chewing,,,,
,વગર,,વગર,Manner,Manner,,without,1.5 point*.Swallowing without chewing are complimentary actrions. Ensemble defines entities. Manner?,,,
,આખો,,,,,,whole,,,,
,જ,,જ,Focus,Focus,,-,,,,
,ગળી,,,,,,swallow,,,,
,જાય,,,,,,goes,,,,
,છે,,,,,,-,,,,
,પણ,,પણ,`,,,but,,,,
,પછી,,પછી,Time,Time,,afterwards,,,,
,તે,,,,,,it,Nominative,,,
,હાલીચાલી,,,,,,move,,,,
,શકતો,,,,,,can,,,,
,નથી,,,,,,not,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
6,એટલે,,,,,,Hence,,"Hence, in the meantime, while it continues digestion of swallowed food for six months, the boa keeps on sleeping. ",,
,છ,,,,,,six,,,,
,મહિના,,,,,,months,,,,
,સુધી,,સુધી,EndTime,Interval,,until,Point 1.6*. સુધી is indicative of EndTime though the context seems to escribe actions happening x time from the EndTime. Is it Duration->EndTime or EndTime->Interval?,,,
,પોતે,,,,,,it,Nominative,,,
,ગળેલા,,,,,,swallowed,,,,
,ખોરાકનું,,નું,Theme,Theme,,of food,Revisit,Point 1.7. Accusative Theme->Theme,,
,પચન,,,,,,digestion,,,,
,થઈ,,,,,,happening,,,,
,રહ્યું,,,,,,keeps,,,,
,હોય,,,,,,has,,,,
,તે,,,,,,that,,,,
Duration?,દરમિયાન,,દરમિયાન,Time,Time,,during time,This is an interesting one. દરમિયાન is generally used to signify duration but in this case points to an interval of digestion.,,,
,અજગરભાઈ,,,,,,boa,,,,
,ઊંઘ્યા,,,,,,sleeping,,,,
,કરે,,,,,,do,,,,
,છે,,,,,,-,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
7,એટલું,,,,,,that much,,"After reading that much, I thought for long on the subject of jungle's activties; and then after taking a colorful pencil, with great much effort, I even succeeded in making a picture",,
,વાંચ્યા,,,,,,reading,,,,
,પછી,,પછી,Time,Time,,after,,,,
,તો,,,,,,then,,,,
,મેં,,એ,Originator,Agent,,I,Ergative. Are ergative markers adpositional? Marked as AGENT since thought involved. Pg.45,,,
,જંગલના,,ના,Theme,Theme,,jungle's,This seems wrong. Based on 217. Locus->Gestalt since activities are happening in the jungle.,,,
,પરાક્રમો,,,,,,activities,,,,
,વિષે,,એ,Topic,Topic,,subject of,,,,
,ક્યાંય,,,,,,forever,,,,
,સુધી,,સુધી,Extent,Extent,,till,till forever is Duration?,,,
,વિચાર,,,,,,think,,,,
,કર્યો,,,,,,did,,,,
,;,,,,,,;,,,,
,ને,,,,,,and,,,,
,વળી,,,,,,then,,,,
,રંગીન,,,,,,colorful,,,,
,પેન્સિલ,,,,,,pencil,,,,
,લઈને,,,,,,after taking,,,,
,ઘણી,,,,,,much,,,,
,મહેનતે,,એ,Manner,Manner,,with effort,,,,
,એક,,,,,,one,,,,
,ચિત્ર,,,,,,picture,,,,
,બનાવવામાં,,માં,Topic,Topic,,in drawing,Doesn't really fit,,,
,પણ,,પણ,Focus,Focus,,also,,,,
,હું,,,,,,I,,,,
,સફળ,,,,,,succeeded,,,,
,થયેલો,,,,,,had,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
8,આ,,,,,,this,,This was my first drawing:,,
,જ,,,,,,only,,,,
,હતું,,,,,,was,,,,
,મારું,,નું,Originator,Gestalt,,my,Genitive,,,
,આ,,,,,,this,,,,
,પ્રથમ,,,,,,first,,,,
,ચિત્ર,,,,,,picture,,,,
,:,,,,,,:,,,,
,,,,,,,,,,,
9,આ,,,,,,this,,"This picture for me was an extremely excellent art work! hence, I had shown my picture to some elders.",,
,"ચિત્ર,",,,,,,picture,,,,
,મારે,,ને,Experiencer,Beneficiary,1:1,me,,,,
,માટે,,માટે,,,1:2,for,,,,
,તો,,,,,,then,,,,
,એક,,,,,,an,,,,
,અત્યંત,,,,,,extremely,,,,
,ઉત્તમ,,,,,,excellent,,,,
,કલાકૃતિ,,,,,,art work,,,,
,હતું,,,,,,was,,,,
,!,,,,,,!,,,,
,એટલે,,,,,,,,,,
,મેં,,એ,Agent,Agent,,I,Ergative,,,
,તો,,,,,,then,,,,
,કેટલાક,,,,,,some,,,,
,વડિલોને,,ને,Experiencer,Recipient,,to elders,Dative,,,
,મારું,,નું,Originator,Gestalt,,my,Genetive,,,
,ચિત્ર,,,,,,picture,,,,
,બતાવ્યું,,,,,,had shown,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
10,અને,,,,,,and,,and asked them too that,,
,પૂછ્યું,,,,,,asked,,,,
,એ,,,,,,as well,,,,
,ખરું,,,,,,well,,,,
,કે,,,,,,that,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
11,“આ,,,,,,this,,""" After seeing this picture, don't you feel scared?""",,
,ચિત્ર,,,,,,picture,,,,
,જોઈને,,,,,,after seeing,,,,
,તમને,,ને,Experiencer,Recipient,,you,Dative,,,
,બીક,,,,,,(do) scared,,,,
,નથી,,,,,,not,,,,
,લાગતી,,,,,,feel,,,,
,?”,,,,,,"?""",,,,
,,,,,,,,,,,
12,પણ,,પણ,`,,,but,,"But the elders said, "" Hey! Would anyone get scared after seeing a picture of a hat?""",,
,વડિલાએ,,એ,Originator,Agent,,elders,Nominative,,,
,કહ્યું,,,,,,said,,,,
,“અરે,,,,,,Oh,,,,
,!,,,,,,!,,,,
,એક,,,,,,one,,,,
,ટોપીનું,,નું,Topic,Topic,,cap's,Unsure about the scene role,,,
,ચિત્ર,,,,,,picture,,,,
,જોઈને,,,,,,after seeing,,,,
,તે,,,,,,then,,,,
,કોઈ,,,,,,anyone,,,,
,બ્હીતું,,,,,,get scared,,,,
,હશે,,,,,,does,,,,
,?”,,,,,,?,,,,
,,,,,,,,,,,
13,મારું,,નું,Originator,Gestalt,,my,,"Was my picture of some cap? It was of a scary incident as that of a boa swallowing an elephant""",,
,ચિત્ર,,,,,,picture,,,,
,થોડું,,,,,,some,,,,
,કાંઈ,,,,,,does,,,,
,ટોપીનું,,નું,Topic,Topic,,cap's,Same as in 12,,,
,હતું,,,,,,was,,,,
,?,,,,,,?,,,,
,એ,,,,,,that,,,,
,તો,,તો,Focus,Focus,,,,,,
,હતું,,,,,,was,,,,
,એક,,,,,,one,,,,
,અજગર,,,,,,boa,,,,
,હાથીને,,ને,Theme,Theme,,to elephant,Accusative,,,
,ગળી,,,,,,swallow,,,,
,રહ્યો,,,,,,-ing,,,,
,હોય,,,,,,is,,,,
,એવી,,,,,,like ,,,,
,ભયાનક,,,,,,scary,,,,
,ઘટનાનું,,નું,Topic,Topic,,of incident,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
14,પરંતુ,,,,,,but,,"but the elders cannot possibly understand this, hence I drew another picture.",,
,વડિલો,,,,,,elders,,,,
,આવું,,,,,,this,,,,
,સમજી,,,,,,can understand,,,,
,શકતા,,,,,,possibly,,,,
,"નથી,",,,,,,not,,,,
,એટલે,,,,,,so,,,,
,મેં,,એ,Originator,Agent,,I,Ergative,,,
,બીજું,,,,,,second,,,,
,ચિત્ર,,,,,,picture,,,,
,બનાવ્યું,,,,,,made,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
15,આ,aa,,,,,this,,"In this picture, I had shown the boa's body from the inside, by which elders would see and understand in a lucid manner.",,
,ચિત્રમાં,chitramaa,માં,Locus,Locus,,in picture,,,,
,મેં,me,એ,Originator,Agent,,I,Ergative,,,
,અજગરના,ajgarnaa,ના,Whole,Whole,,boa's,As in example 359,,,
,શરીરને,sharirne,ને,Topic,Topic,,to body,Accusative,,,
MWE?,અંદરથી,andarthi,અંદરથી,Locus,Source,,from inside,This is interesting. Compound postposition,,,
,"બતાવ્યું,",bataavyu,,,,,"shown,",,,,
,જેથી,,થી,Explanation,Source,,due to which,As in example 458,,,
,મોટા,,,,,,elder,,,,
,લોકો,,,,,,people,,,,
,સ્પષ્ટ,,,,,,vivid,,,,
,રીતે,,એ,Manner,Manner,,in manner,Similar to http://flat.nert.georgetown.edu/hi/se/Manner--Manner/,,,
,જોઈ,,,,,,see,,,,
,અને,,,,,,and,,,,
,સમજી,,,,,,understand,,,,
,શકે,,,,,,can,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
16,એમને,emne,ને,Recipient,Recipient,,to them,Dative,I had explained everything to them methodically.,,
,બધું,badhu,,,,,all,,,,
,રીતસર,reetsar,,,,,methodically,"Specific to Gujarati, only admits some governors, cannot be used with foreign words, according to ""schedule""? -> In english this would be a Circumstance, but it may not be one in Gujarati",,,
,સમજાવવું,samjhaavvu,,,,,understand,,,,
,પડે,pade,,,,,make,,,,
,છે,che,,,,,-,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
17,મારું,,નું,Originator,Gestalt,,my,,My second drawing was as follows:,,
,બીજું,,,,,,second,,,,
,ચિત્ર,,,,,,picture,,,,
,આ,,,,,,this,,,,
,પ્રમાણે,,પ્રમાણે,ComparisonRef,ComparisonRef,,as follows,,,,
,હતું,,,,,,was,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
18,આ,,,,,,this,,"This time around the elders advised me to drop making boa's pictures, from inside or ousude, and learn about geography, history, geometry and grammar. ",,
,વખતે,,એ,Time,Time,,time around,Contextualizing,,,
,વડિલોએ,,એ,Originator,Agent,,elders,,,,
,મને,,ને,Recipient,Recipient,,to me,Dative,,,
,અજગરનાં,,નાં,Topic,Topic,,boa's,,,,
,"ચિત્રો,",,,,,,"pictures,",,,,
MWE?,અંદરથી,,અંદરથી,Locus,Source,,from inside,Same as 15,,,
,કે,,,,,,or,,,,
MWE?,"બહારથી,",,બહારથી,Locus,Source,,"from outside,",Same as 15,,,
,દોરવાના,,,,,,to drawing,See point 5 below 192 for infinitivals,,,
,પડતાં,,,,,,leave,,,,
,મૂકી,,,,,,put,,,,
,"ભૂગોળ,",,,,,,"geography,",,,,
,"ઈતિહાસ,",,,,,,"history,",,,,
,અંકગણિત,,,,,,geometry,,,,
,અને,,,,,,and,,,,
,વ્યાકરણનો,,નો,Topic,Topic,,of grammar,,,,
,અભ્યાસ,,,,,,practice,,,,
,કરવાની,,ની,Topic,Topic,,to do,,,,
,સલાહ,,,,,,advise,,,,
,આપી,,,,,,gave,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
19,આથી,,થી,Explanation,Source,,Due to this,,"Due to this, at six year's age, I gave up the dream of becoming a great artist.",,
,છ,,,,,,six,,,,
,વર્ષની,,ની,Characteristic,Characteristic,,year's,Special Construction 6.6,,,
,ઉંમરે,,એ,Time,Time,,at age,,,,
,જ,,જ,Focus,Focus,,only,,,,
,મેં,,એ,Agent,Agent,,I,Ergative,,,
,એક,,,,,,one,,,,
,મહાન,,,,,,great,,,,
,ચિત્રકાર,,,,,,artist,,,,
,બનવાનું,,નું,Topic,Identity,,of becoming,?,,,
,સ્વપ્ન,,,,,,dream,,,,
,છોડી,,,,,,left,,,,
,દીધું,,,,,,gave,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
20,મારા,,ના,Originator,Gestalt,,My,Genetive,I got discouraged due to the failure of my pictures.,,
,બંને,,,,,,both,,,,
,ચિત્રોની,,ની,Theme,Theme,,of pictures,,,,
,નિષ્ફળતાને,,ને,Explanation,Explanation,1:1,of failure,Extremelyconfused about this one,,,
,કારણે,,કારણે,,,1:2,due to the reason,,,,
,હું,,,,,,I,,,,
,હતોત્સાહ,,,,,,demoralized,,,,
,થઈ,,,,,,became,,,,
,ગયો,,,,,,,,,,
,હતો,,,,,,was,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
21,વડિલો,,,,,,elders,,Elders by their selves cannot understand anything much.,,
,એમની,,,,,,their,,,,
,જાતે,,એ,Manner,Manner,,by themselves,,,,
,ખાસ,,,,,,much,,,,
,કંઈ,,,,,,anything,,,,
,સમજી,,,,,,understand,,,,
,શકતા,,,,,,can,,,,
,નથી,,,,,,not,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
22,અને,,,,,,and,,And how difficult is the job of continuously explaining to them for the kids? ,,
,એમને,,ને,Experiencer,Recipient,,to them,Dative,,,
,સતત,,,,,,continuously,,,,
,સમજણ,,,,,,understanding,,,,
,પાડવાનું,,નું,Purpose,Purpose,,of making,Should this have Topic as the Scene role,,,
,કામ,,,,,,work,,,,
,બાળકો,,,,,,children,,,,
,માટે,,માટે,Experiencer,Beneficiary,,for,,,,
,કેટલું,,,,,,how,,,,
,અઘરું,,,,,,difficult,,,,
,હોય,,,,,,is,,,,
,છે,,,,,,,,,,
,?,,,,,,?,,,,
,,,,,,,,,,,
23,ત્યારપછી,,પછી,Time,Time,,after that,,"After that, I chose another occupation, and I became a pilot.",,
,મેં,,એ,Agent,Agent,,I,Ergative,,,
,બીજો,,,,,,second,,,,
,વ્યવસાય,,,,,,occupation,,,,
,પસંદ,,,,,,choose,,,,
,"કર્યો,",,,,,,"did,",,,,
,અને,,,,,,and,,,,
,હું,,,,,,I,,,,
,વિમાનચાલક,,,,,,pilot,,,,
,બન્યો,,,,,,became,,,,
,.,,,,,,,,,,
,,,,,,,,,,,
24,હું,,,,,,I,,I have somewhat flown over all the parts of the world.,,
,થોડુંઘણું,,,,,,somewhat,,,,
,દુનિયાના,,ના,Whole,Whole,,of the world,,,,
,બધાય,,,,,,all,,,,
,ભાગો,,,,,,parts,,,,
,ઉપરથી,,ઉપરથી,Path,Source,,from over,Compound,,,
,ઉડ્યો,,,,,,have flown,,,,
,છું,,,,,,-,,,,
,.,,,,,,.,,,,
,,,,,,,,,,,
25,અને,,,,,,and,,"And in that, it is also true that the knowledge of geography was beneficial to me.",,
,એમાં,,માં,Circumstance,Circumstance,,in that,?,,,
