Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Translation
1,﻿આ,Aa,,,,,this,,"In this manner, the issue of importance which got known to me, was this mystery-The planet from which this little prince had come, that planet would hardly be bigger than a house."
,રીતે,reetae,એ,Manner,Manner,,by method,,
,મને,mane,ને,Experiencer,Recipient,,to me,,
,જે,je,,,,,such as,,
,મહત્ત્વની,mahattvani,ની,Characteristic,Identity,,of importance,See construal in Hn-Xposition,
,વાત,vaat,,,,,talk,,
,જાણવા,jaanva,,,,,know,,
,મળી,mali,,,,,got,,
,તે,te,,,,,that,,
,આ,aa,,,,,this,,
,રહસ્ય,rahasya,,,,,mystery,,
,હતું,hatu,,,,,was,,
,-,-,,,,,-,,
,જે,je,,,,,such as,,
,ગ્રહ,graha,,,,,planet,,
,પરથી,parthi,પરથી,Source,Source,,from on,Compound,
,આ,aa,,,,,this,,
,નાનકડો,naanakdo,,,,,little,,
,રાજકુમાર,raajkumaar,,,,,prince,,
,આવ્યો,aavyo,,,,,come,,
,હતો,hato,,,,,had,,
,તે,te,,,,,that,,
,ગ્રહ,graha,,,,,planet,,
,એક,ek,,,,,one,,
,ઘર,ghar,,,,,house,,
,કરતાં,kartaa,કરતાં,ComparisonRef,ComparisonRef,,than,,
,ભાગ્યે,bhaagye,,,,,hardly,,
,જ,j,જ,Focus,Focus,,only,,
,મોટો,moto,,,,,bigger,,
,હોય,hoy,,,,,might,,
,!,!,,,,,!,,
,,,,,,,,,
2,પણ,pan,પણ,`,,,But,,"But, I wasn't too much surprised by that."
,એથી,ethi,થી,Stimulus,Source,,by that,Triple construal Stim->Exp->Source,
,મને,mane,ને,Experiencer,Recipient,,to me,,
,કાંઈ,kaai,,,,,some,,
,બહુ,bahu,,,,,much,,
,મોટું,motu,,,,,big,,
,આશ્ચર્ય,ashcharya,,,,,surprise,,
,થયું,thayu,,,,,was,,
,નહીં,nahin,,,,,not,,
,.,.,,,,,.,,
,,,,,,,,,
3,મને,mane,ને,Experiencer,Recipient,,to me,,"I had that much awareness that big planets. like that of Earth, Jupiter, Mars, Venus -- to which we have given names, those are known."
,એટલી,etli,,,,,that much,,
,તો,to,તો,Focus,Focus,,<filler>,,
,ખબર,khabar,,,,,awareness,,
,હતી,hati,,,,,had,,
,જ,j,જ,Focus,Focus,,only,,
,કે,ke,,,,,that,,
,મોટા,mota,,,,,big,,
,ગ્રહો,graho,,,,,planets,,
,",",",",,,,,",",,
,જેવા,jeva,જેવા,PartPortion,PartPortion,1:1,like,Exemplification Ex.437,
,કે,ke,કે,,,1:2,that of,,
,પૃથ્વી,pruthvi,,,,,Earth,,
,",",",",,,,,",",,
,ગુરૂ,guru,,,,,Jupiter,,
,",",",",,,,,",",,
,મંગળ,mangal,,,,,Mars,,
,",",",",,,,,",",,
,શુક્ર,shukra,,,,,Venus,,
,--,--,,,,,--,,
,જેમને,jemne,ને,Theme,Recipient,,them-ACC,Unsure about the Source. Name is given to them.,
,આપણે,aapne,એ,Agent,Agent,,we,,
,નામ,naam,,,,,name,,
,આપ્યાં,aapya,,,,,given,,
,છે,chhe,,,,,have,,
,",",",",,,,,",",,
,તે,te,,,,,that,,
,તો,to,તો,Focus,Focus,,<filler>,,
,જાણીતા,jaanita,,,,,known,,
,છેજ,chhej,જ,Focus,Focus,,are <emph>,,
,.,.,,,,,.,,
,,,,,,,,,
4,પણ,pan,પણ,`,,,But,,"But there are many planets apart from those too, and few are so tiny that it is difficult to see even by the help of a telescope."
,એ,e,,,,,that,,
,સિવાયના,sivaayna,સિવાયના,PartPortion,PartPortion,,except of,,
,યે,ye,,,,,too,,
,સેંકડો,senkdo,,,,,many,,
,ગ્રહો,graho,,,,,planets,,
,છે,chhe,,,,,are,,
,",",",",,,,,",",,
,અને,ane,,,,,and,,
,અમુક,amuk,,,,,few,,
,તો,to ,તો,`,,,<filler>,,
,એટલા,etla,,,,,so,,
,નાના,nana,,,,,tiny,,
,છે,che,,,,,are,,
,કે,ke,,,,,that,,
,દૂરબીનની,doorbinni,ની,Instrument,Theme,,of telescope,"The resoning behind the two labels- For the first, XYZ was seen with the help of what? hence Instruments. ",
,મદદથી,madadthi,થી,Means,Means,,by the help ,"For this one, XYZ was seen how? Hence, indicating means",
,યે,ye,,,,,too,,
,જોવા,jova,,,,,to see,,
,મુશ્કેલ,mushkel,,,,,difficult,,
,છે,chhe,,,,,are,,
,.,.,,,,,.,,
,,,,,,,,,
5,જયારે,jyaare,,,,,when,,"When any astronomer finds out a few from tiny planets like these, then a number, not name, is given to it."
,કોઈ,koi,,,,,any,,
,ખગોળશાસ્ત્રી,khagolshashtri,,,,,astronomer,,
,આવા,aava,,,,,like these,,
,નાના,naana,,,,,tiny,,
,ગ્રહોમાંથી,grahomaathi,માંથી,Whole,Source,,from planets,Ex.365,
,એકાદ,ekaad,,,,,around one,,
,ને,ne,ને,Theme,Theme,,to-ACC,,
,શોધી,shodhi,,,,,finds,,
,કાઢે,kaadhe,,,,,out,,
,છે,chhe,,,,,-,,
,ત્યારે,tyaare,,,,,then,,
,એને,ene,ને,Theme,Recipient,,to it,Same as sentence 3,
,નામ,naam,,,,,a name,,
,નહીં,nahin,,,,,not,,
,પણ,pan,પણ,`,,,but,,
,અંક,ank,,,,,a digitcode,,
,--,--,,,,,--,,
,નંબર,number,,,,,number,,
,--,--,,,,,--,,
,આપે,aape,,,,,give,,
,છે,chhe,,,,,be-PRES,,
,.,.,,,,,.,,
,,,,,,,,,
6,જેમકે,jemke,જેમકે,PartPortion,PartPortion,,like,Exemplification Ex.437,"Like, ""planet 325"""
,"""","""",,,,,"""",,
,ગ્રહ,graha,,,,,planet,,
,૩૨૫,325,,,,,325,,
,”,"""",,,,,"""",,
,.,.,,,,,.,,
,,,,,,,,,
7,નાનકડો,naanakdo,,,,,little,,The planet from which the little prince had come that might be known as B-612.
,રાજકુમાર,raajkumaar,,,,,prince,,
,જે,je,,,,,which,,
,ગ્રહ,graha,,,,,planet,,
,પરથી,parthi,પરથી,Source,Source,,from,,
,આવ્યો,aavyo,,,,,come,,
,હતો,hato,,,,,had,,
,તે,te,,,,,that,,
,બી-૬૧૨,B-612,,,,,B-612,,
,તરીકે,tarike,તરીકે,Species,Manner,,as,,
,ઓળખાતો,odkhaato,,,,,known,,
,હોવો,hovo,,,,,might,,
,જોઈએ,joie,,,,,-,,
,.,.,,,,,.,,
,,,,,,,,,
8,આવું,aavu,,,,,like this,,"For assuming this, I have also a particular reason ."
,માનવા,maanva,,,,,assuming,,
,માટે,maate,માટે,Purpose,Purpose,,for ,,
,મારી,maari,ની,Experiencer,Locus,1:1,with me,This is interesting. This might be Possessor,
,પાસે,paase,પાસે,,,1:2,near,,
,ખાસ,khaas,,,,,particular,,
,કારણ,kaaran,,,,,reason,,
,પણ,pan,પણ,`,,,also,,
,છે,chhe,,,,,is,,
,.,.,,,,,.,,
,,,,,,,,,
9,આ,aa,,,,,this,,This planet has fallen to the eyes by a telescope only once.
,ગ્રહ,graha,,,,,planet,,
,માત્ર,maatra,,,,,only,,
,એક,ek,,,,,one,,
,જ,j,જ,Focus,Focus,,<emph>,,
,વખત,vakhat,,,,,time,,
,દૂરબીન,doorbin,,,,,telescope,,
,દ્વારા,dwaara,દ્વારા,Instrument,Instrument,,by,,
,નજરે,najre,એ,Goal,Locus,,to eyes,,
,પડ્યો,padyo,,,,,fallen,,
,હતો,hato,,,,,has,,
,.,.,,,,,.,,
,,,,,,,,,
