`,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Translation
1,﻿પણ,pan,પણ,`,,,but,,"But, in reality for children -- the ones who correctly understand life -- there isn't any meaning to numbers."
,હકીકતમાં,hakikatmaa,માં,Circumstance,Circumstance,,in reality,,
,બાળકો,baalako,,,,,children,,
,માટે,maate,માટે,Beneficiary,Beneficiary,,for,,
,--,--,,,,,--,,
,જેઓ,jeo,,,,,the ones,,
,જીવનને,jeevanne,ને,Stimulus,Theme,,life-DAT,,
,બરાબર,baraabar,,,,,correctly,,
,સમજે,samajhe,,,,,understand,,
,છે,chhe,,,,,-,,
,--,--,,,,,--,,
,આંકડાઓનો,aankdaaono,નો,Topic,Topic,,of numbers,,
,કોઈ,koi,,,,,any,,
,જ,j,જ,Focus,Focus,,<emph>,,
,અર્થ,arth,,,,,meaning,,
,નથી,nathi,,,,,no,,
,.,.,,,,,.,,
,,,,,,,,,
2,આ,aa,,,,,this,,"To begin this story like some fairy tale, would've been liked by me"
,વાર્તા,vaarta,,,,,story,,
,કોઈ,koi,,,,,some,,
,પરીકથાની,parikathaani,ની,Manner,ComparisonRef,1:1,fairy tale of,,
,માફક,maafak,માફક,,,1:2,like,,
,શરૂ,sharu,,,,,begin,,
,કરવાનું,karvaanu,નું,Stimulus,Topic,,for doing,,
,મને,mane,ને,Experiencer,Recipient,,to me,,
,ગમ્યું,gamyu,,,,,liked,,
,હોત,hot,,,,,would've,,
,.,.,,,,,.,,
,,,,,,,,,
3,મને,mane,ને,Experiencer,Recipient,,to me,,
,તો,to,તો,Focus,Focus,,<filler>,,
,વાર્તાની,vartaani,ની,Whole,Whole,,of story,,
,શરૂઆત,sharuaat,,,,,beginning,,
,આ,aa,,,,,this,,
,રીતે,reete,એ,Manner,Manner,,by manner,,
,કરવી,karvi,,,,,do,,
,ગમે,game,,,,,like,,
,:,:,,,,,:,,
,,,,,,,,,
4,એક,ek,,,,,one,,
,નાનકડો,naanakdo,,,,,little,,
,રાજકુમાર,raajkumaar,,,,,prince,,
,એના,ena,ના,ComparisonRef,ComparisonRef,1:1,him-GEN,,
,જેવા,jeva,જેવા,,,1:2,like,,
,જ,j,જ,Focus,Focus,,<emph>,,
,નાનકડા,naanakda,,,,,little,,
,ગ્રહ,graha,,,,,planet,,
,પર,par,પર,Locus,Locus,,on,,
,રહેતો,raheto,,,,,lived-AB,,
,હતો,hato,,,,,-,,
,.,.,,,,,.,,
,,,,,,,,,
5,એને,ene,ને,Experiencer,Recipient,,he-DAT,,
,એક,ek,,,,,a,,
,દોસ્તની,dostni,ની,Stimulus,Theme,,of friend,,
,જરૂર,jarur,,,,,need,,
,હતી,hati,,,,,had,,
,…,...,,,,,...,,
,”,"""",,,,,"""",,
,જેઓ,jeo,,,,,The ones who,,
,જીવનને,jeevanne,ને,Stimulus,Theme,,life-DAT,,
,સમજે,samje,,,,,understand,,
,છે,chhe,,,,,-,,
,તેમને,temne,ને,Experiencer,Recipient,,they-DAT,,
,આ,aa,,,,,this,,
,વાત,vaat,,,,,story,,
,જરૂર,jarur,,,,,surely,,
,સાચી,saachi,,,,,true,,
,લાગી,laagi,,,,,feel,,
,હોત,hot,,,,,,,
,.,.,,,,,.,,
,,,,,,,,,
6,પરંતુ,parantu,,,,,But,,
,કોઈ,koi,,,,,someone,,
,મારી,maari,ની,Possessor,Possessor,,my,,
,ચોપડી,chopdi,,,,,book,,
,બેધ્યાનપણે,bedhyaanpane,એ,Manner,Manner,,aimlessly,,
,વાંચે,vaanche,,,,,reads,,
,એ,e,,,,,that,,
,મને,mane,ને,Experiencer,Recipient,,to me,,
,ગમતું,gamtu,,,,,like,,
,નથી,nathi,,,,,not,,
,.,.,,,,,.,,
,,,,,,,,,
7,બાળપણની,baalpanni,ની,Theme,Gestalt,,of childhood,,
,ઘણીયે,ghaniye,,,,,many,,
,વાતો,vaato,,,,,stories,,
,ભૂલી,bhuli,,,,,forgotten,,
,જવાથી,javaathi,થી,Explanation,Source,,because of getting,,
,મેં,me,એ,Experiencer,Agent,,I-ERG,,
,ઘણું,ghanu,,,,,a lot,,
,સહન,sahan,,,,,tolerate,,
,કર્યું,karyu,,,,,did,,
,છે,chhe,,,,,-,,
,.,.,,,,,.,,
,,,,,,,,,
8,મારો,maaro,નો,SocialRel,Gestalt,,My,,
,દોસ્ત,dost,,,,,friend,,
,એના,ena,ના,Possessor,Possessor,,his,,
,ઘેટાને,ghetaane,ને,Ancillary,Theme,,sheep-ACC,,
,લઈને,laine,,,,,after taking,There is an argument to be made for Manner,
,ચાલ્યો,chaalyo,,,,,walked,,
,ગયો,gayo,,,,,-,,
,એ,e,,,,,that,,
,વાતને,vaatne,ને,Theme,Theme,,story-DAT,,
,છ,chha,,,,,six,,
,છ,chha,,,,,six,,
,વર્ષ,varsh,,,,,years,,
,વીતી,veeti,,,,,passed,,
,ગયા,gaya,,,,,have,,
,છે,chhe,,,,,-,,
,;,;,,,,,;,,
,છતાં,chataa,,,,,still,,
,એ,e,,,,,that,,
,ભૂલી,bhuli,,,,,forget,,
,ન,na,,,,,not,,
,જવાય,javaay,,,,,gets,,
,એ,e,,,,,that,,
,માટે,maate,માટે,Purpose,Purpose,,for,,
,હું,hu,,,,,I,,
,એને,ene,ને,Stimulus,Theme,,he-DAT,,
,વારં-વાર,vaaaram-vaar,,,,,continously,,
,યાદ,yaad,,,,,ruminate,,
,કરું,karu,,,,,do,,
,છું,chhu,,,,,-,,
,.,.,,,,,.,,
,,,,,,,,,
9,દોસ્તને,dostne,ને,Stimulus,Theme,,friend-DAT,,
,ભૂલી,bhuli,,,,,forget,,
,જવું,javu,,,,,,,
,એ,e,,,,,that,,
,તો,to,તો,`,,,<filler>,,
,કેવી,kevi,,,,,how,,
,દુ:ખભરી,dukhbhari,,,,,sad-filled,,
,વાત,vaat,,,,,thing,,
,છે,chhe,,,,,is,,
,!,!,,,,,!,,
,બધાને,badhaane,ને,SocialRel,Recipient,,everyone-DAT,,
,કાંઈ,kaai,,,,,<filler>,,
,સાચા,saacha,,,,,true,,
,દોસ્ત,dost,,,,,friends,,
,નથી,nathi,,,,,not,,
,મળતા,malta,,,,,do get,,
,.,.,,,,,.,,
,,,,,,,,,
10,અને,ane,,,,,and,,
,હું,hu,,,,,I,,
,જો,jo,,,,,if,,
,મારા,maara,ના,SocialRel,Gestalt,,my,,
,દોસ્તને,dostne,ને,Stimulus,Theme,,friend-DAT,,
,ભૂલી,bhuli,,,,,forget,,
,જાઉં,jaau,,,,,do,,
,તો,to,તો,`,,,then,,
,હું,hu,,,,,I,,
,પણ,pan,પણ,Focus,Focus,,too,,
,વડિલો,vadilo,,,,,elders,,
,જેવો,jevo,જેવો,ComparisonRef,ComparisonRef,,like,,
,જ,j,જ,Focus,Focus,,<emph>,,
,બની,bani,,,,,become,,
,જાઉં,jaau,,,,,-,,
,...,...,,,,,...,,
,જેમને,jemne,ને,Experiencer,Recipient,,whom-DAT,,
,આંકડા,aankda,,,,,numbers,,
,સિવાય,sivaay,સિવાય,PartPortion,PartPortion,,except,,
,બીજા,bija,,,,,other,,
,કશાયમાં,kashaaymaa,માં,Topic,Topic,,in anything,Ex.232,
,રસ,ras,,,,,interset,,
,નથી,nathi,,,,,not,,
,...,...,,,,,...,,
,,,,,,,,,
11,તેથી,tethi,થી,Explanation,Explanation,,Due to that,,
,જ,j,જ,Focus,Focus,,<emph>,,
,મેં,me,એ,Agent,Agent,,I-ERG,,
,રંગ,rang,,,,,color,,
,અને,ane,,,,,and,,
,પેન્સિલોને,pencilone,ને,`,,,pencil,This is a conjunction disguised as a ACC,
,એવું,evu,,,,,like those,,
,બધું,badhu,,,,,things,,
,ખરીદયું,kharidyu,,,,,bought,,
,છે,chhe,,,,,-,,
,અને,ane,,,,,and,,
,હવે,have,,,,,now,,
,આટલી,aatli,,,,,this much,,
,ઉંમરે,ummare,એ,Time,Time,,at age,,
,ચિત્ર,chitra,,,,,picture,,
,દોરતા,dorta,,,,,to draw,,
,શીખવું,shikhvu,,,,,learn,,
,એ,e,,,,,that,,
,અઘરું,aghru,,,,,onerous,,
,કામ,kaam,,,,,task,,
,તો,to,તો,Focus,Focus,,<filler>,,
,છે,chhe,,,,,is,,
,જ,j,જ,Focus,Focus,,<emph>,,
,.,.,,,,,.,,
,,,,,,,,,
12,છ,chha,,,,,six,,
,વર્ષની,varashni,ની,Characteristic,Characteristic,,of years,,
,વય,vay,,,,,age,,
,પછી,pacchi,પછી,Time,Time,,after,,
,મેં,me,એ,Originator,Agent,,I,,
,અજગર,ajgar,,,,,boa,,
,--,--,,,,,--,,
,અંદરથી,andarthi,અંદરથી,Locus,Source,,from inside,,
,અને,ane,,,,,and,,
,બહારથી,bahaarthi,બહારથી,Locus,Source,,from outside,,
,--,--,,,,,--,,
,દોર્યોતો,doryoto,,,,,drew,,
,તે,te,,,,,that,,
,સિવાય,sivaay,સિવાય,PartPortion,PartPortion,,except,,
,બીજા,bijaa,,,,,other,,
,કોઈ,koi,,,,,any,,
,ચિત્રો,chitro,,,,,pictures,,
,મેં,me,એ,Originator,Agent,,I,,
,દોર્યા,dorya,,,,,drawn,,
,જ,j,જ,Focus,Focus,,<emph>,,
,નથી,nathi,,,,,not,,
,.,.,,,,,.,,
,,,,,,,,,
13,મારા,maara,ના,Originator,Gestalt,,My,,
,ચિત્રોને,chitrone,ને,Theme,Theme,,pictures-ACC,,
,હું,hu,,,,,I,,
,શક્ય,shakya,,,,,possible,,
,એટલાં,etla,,,,,that much,,
,સાચાં,saacha,,,,,true,,
