Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,
1,﻿રાજકુમારે,,એ,Experiencer,Agent,,,,
,પોતાની,,ની,Direction,Direction,1:1,,,
,આજુબાજુ,,આજુબાજુ,,,1:2,,,
,"૩૨૫,",,,,,,,,
,"૩૨૬,",,,,,,,,
,"૩૨૭,",,,,,,,,
,"૩૨૮,",,,,,,,,
,329,,,,,,,,
,અને,,,,,,,,
,330,,,,,,,,
,આંકડાવાળા,,વાળા,Characteristic,Characteristic,,,,
,ગ્રહો,,,,,,,,
,જોયા,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
2,પોતાના,,ના,Gestalt,Gestalt,,,,
,જ્ઞાનમાં,,માં,Theme,Theme,,,,
,વૃદ્ધિ,,,,,,,,
,કરવાના,,,,,,,,
,ઈરાદાથી,,થી,Purpose,Source,,,Explanation/Causer?,
,આપણો,,નો,SocialRel,Gestalt,,,,
,આ,,,,,,,,
,નાનકડો,,,,,,,,
,રાજકુમાર,,,,,,,,
,એ,,,,,,,,
,બધા,,,,,,,,
,ગ્રહોની,,ની,Theme,Theme,,,,
,મુલાકાત,,,,,,,,
,લેવા,,,,,,,,
,માંડ્યો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
3,પહેલા,,,,,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,એક,,,,,,,,
,રાજા,,,,,,,,
,રહેતો,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
4,એણે,,એ,Agent,Agent,,,,
,જાંબલી,,,,,,,,
,રંગનો,,નો,Characteristic,Identity,,,,
,ભભપકાદાર,,,,,,,,
,રાજવી,,,,,,,,
,પોષાક,,,,,,,,
,પહેર્યો,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
5,એ,,,,,,,,
,એક,,,,,,,,
,સાદી,,,,,,,,
,છતાં,,,,,,,,
,ભવ્ય,,,,,,,,
,રાજગાદી,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,બેઠો,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
6,“,,,,,,,,
,આહ,,,,,,,,
,!,,,,,,,,
,એક,,,,,,,,
,દરબારી,,,,,,,,
,આવ્યો,,,,,,,,
,ખરો,,,,,,,,
,!,,,,,,,,
,”,,,,,,,,
,રાજકુમારને,,ને,Stimulus,Theme,,,,
,જોઈને,,,,,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
7,અને,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,પોતાની,,,,,,,,
,જાતને,,ને,Recipient,Recipient,,,,
,જ,,જ,Focus,Focus,,,,
,પૂછ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,પણ,,પણ,`,,,,,
,આ,,,,,,,,
,રાજાએ,,એ,Experiencer,Agent,,,,
,તો,,તો,Focus,Focus,,,,
,મને,,ને,Stimulus,Theme,,,,
,પહેલાં,,,,,,,,
,ક્યારેય,,ય,Focus,Focus,,,,
,જોયો,,,,,,,,
,નથી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
8,એણે,,એ,Experiencer,Agent,,,,
,મને,,ને,Stimulus,Theme,,,,
,કેવી,,,,,,,,
,રીતે,,,,,,,,
,ઓળખ્યો,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
9,રાજા,,,,,,,,
,માટે,,માટે,Experiencer,Beneficiary,,,Beneficiary?,
,આ,,,,,,,,
,કેટલું,,,,,,,,
,સહેલું,,,,,,,,
,હોય,,,,,,,,
,છે,,,,,,,,
,",",,,,,,,,
,એની,,ની,Topic,Topic,,,,
,રાજકુમારને,,ને,Experiencer,Recipient,,,,
,ખબર,,,,,,,,
,ન,,,,,,,,
,હતી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
10,રાજા,,,,,,The king,,"For the king, everyone except him is his minister."
,માટે,,માટે,`,,,For,"""When it comes to """,
,તો,,તો,Focus,Focus,,`,,
,એના,,ના,PartPortion,PartPortion,1:1,his,"""उसके सिवाके सब"" . Note that this Hindi phrase seems incorrect. I have seen ""उसके अलावा सब""",
,સિવાયના,,સિવાયના,,,1:2,except of,,
,બધા,,,,,,every,,
,જ,,જ,Focus,Focus,,,,
,લોકો,,,,,,one,,
,એના,,ના,SocialRel,Gestalt,,his,,
,દરબારીઓ,,,,,,ministers,,
,.,,,,,,.,,
,,,,,,,,,
11,“,,,,,,,,
,પાસે,,,,,,,,
,આવ,,,,,,,,
,",",,,,,,,,
,જેથી,,થી,Explanation,Explanation,,,,
,હું,,,,,,,,
,તને,,ને,Stimulus,Theme,,,,
,સારી,,,,,,,,
,રીતે,,રીતે,Manner,Manner,,,,
,જોઈ,,,,,,,,
,શકું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
12,પોતે,,,,,,,,
,કોઈનો,,નો,SocialRel,Gestalt,,,,
,રાજા,,,,,,,,
,છે,,,,,,,,
,એવી,,,,,,,,
,ખુમારી,,,,,,,,
,એના,,ના,Whole,Whole,,,,
,ચહેરા,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,દેખાઈ,,,,,,,,
,આવી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
13,નાનકડા,,,,,,,,
,રાજકુમારે,,એ,Agent,Agent,,,,
,બેસવાની,,,,,,,,
,જગ્યા,,,,,,,,
,શોધવા,,,,,,,,
,આજુબાજુ,,,,,,,,
,નજર,,,,,,,,
,નાખી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
14,પણ,,પણ,`,,,,,
,આખાય,,,,,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,રાજાનો,,નો,Possessor,Possessor,,,,
,પોષાક,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,છવાયેલો,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
15,એટલે,,,,,,,,
,એ,,,,,,,,
,અદબ,,,,,,,,
,વાળીને,,,,,,,,
,ઉભો,,,,,,,,
,રહ્યો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
16,પણ,,,,,,,,
,એ,,,,,,,,
,થાકી,,,,,,,,
,ગયેલો,,,,,,,,
,હોવાથી,,થી,Explanation,Explanation,,,,
,એણે,,એ,Agent,Agent,,,,
,બગાસું,,,,,,,,
,ખાધું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
17,“,,,,,,,,
,રાજાની,,ની,Theme,Theme,,,,
,હાજરીમાં,,માં,Circumstance,Circumstance,,,,
,બગાસું,,,,,,,,
,ખાવું,,,,,,,,
,એ,,,,,,,,
,શિસ્તની,,ની,Characteristic,Beneficiary,1:1,,Ex.406 Opinion,
,વિરુદ્ધ,,વિરુદ્ધ,,,1:2,,,
,છે,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,હું,,,,,,,,
