Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Hindi Verification,Verification Notes,,,,,,
1,﻿એ,,,,,,,,,,Verification Legend,,,,,
,બનાવને,,ને,Circumstance,Circumstance,,,,0,,0,N/A,38,,Sr_Acc,Fn_Acc
,આજે,,એ,Time,Time,,,,,,1,Both Same,16,,0.8181818182,0.8181818182
,છ,,,,,,,,,,2,SR Diff,2,,,
,વર્ષ,,,,,,,,,,3,Fn Diff,2,,,
,વીતી,,,,,,,,,,4,Both Diff,2,,,
,ગયા,,,,,,,,,,5,Semantic Difference,6,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,મેં,,એ,Originator,Agent,,,,1,,,,,,,
,આ,,,,,,,,,,,,,,,
,વાત,,,,,,,,,,,,,,,
,અત્યાર,,,,,,,,,,,,,,,
,સુધી,,સુધી,Duration,Duration,,,,0,,,,,,,
,કોઈને,,ને,Recipient,Recipient,,,,0,,,,,,,
,કહી,,,,,,,,,,,,,,,
,નથી,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,મને,,ને,Stimulus,Theme,,,,2,Theme instead of Stimulus. ,,,,,,
,જીવતો,,,,,,,,,,,,,,,
,પાછો,,,,,,,,,,,,,,,
,આવેલો,,,,,,,,,,,,,,,
,જોઈને,,,,,,,,,,,,,,,
,મારા,,ના,SocialRel,Gestalt,,,,1,,,,,,,
,સાથીદારોને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,હાશ,,,,,,,,,,,,,,,
,થઈ,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,હું,,,,,,,,,,,,,,,
,ઉદાસ,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,પણ,,પણ,`,,,,,,,,,,,,
,મેં,,એ,Originator,Agent,,,,1,,,,,,,
,એમને,,ને,Recipient,Recipient,,,,5,SR is correct...slight difference in the case-markers used in both cases,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,:,,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,હું,,,,,,,,,,,,,,,
,થાકી,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,છું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
